Commit_Hash;Source;Factor;N;SamplesPerInput;Experiment;Target;RMSE_Marginal_Mean;RMSE_Marginal_Variance;RMSE_Marginal_Rho;RMSE_Marginal_Tau;RMSE_Msg_Mean;RMSE_Msg_Variance;RMSE_Msg_Rho;RMSE_Msg_Tau;MAE_Marginal_Mean;MAE_Marginal_Variance;MAE_Marginal_Rho;MAE_Marginal_Tau;MAE_Msg_Mean;MAE_Msg_Variance;MAE_Msg_Rho;MAE_Msg_Tau;MAPE_Marginal_Mean;MAPE_Marginal_Variance;MAPE_Marginal_Rho;MAPE_Marginal_Tau;MAPE_Msg_Mean;MAPE_Msg_Variance;MAPE_Msg_Rho;MAPE_Msg_Tau
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;100;1000000;2;targets_Z;0.04594542;0.9845394;5.7596015e-5;0.012885961;2.702091;2824.4858;5.7596015e-5;0.012885961;0.035813104;0.7088691;3.715804e-5;0.008759373;1.765419;1360.4331;3.715804e-5;0.008759373;0.00046462525;0.0038714868;0.0038697151;0.003951819;0.018854126;0.1315533;0.12817548;0.13415393
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;20000;1000000;2;targets_Y;0.08140221;0.8226442;0.007211456;0.3339103;67.938644;60.60279;0.007211456;0.3339103;0.05856113;0.52297705;0.0013099924;0.0539718;4.986554;15.059433;0.0013099924;0.0539718;0.02849413;0.015552757;0.014374919;0.04031008;0.5019993;0.08636216;0.07163526;0.48646405
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;10000;1;targets_Z;0.9316471;12.56198;0.004429243;0.43965238;54.530827;8479.126;0.004429243;0.43965238;0.6728049;7.6325;0.0007533476;0.16272971;28.63825;5060.034;0.0007533476;0.16272971;0.0099714855;0.045561988;0.047248192;0.052167006;0.37450624;1.1324813;1.1089168;1.335823
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;1000;1000000;1;targets_Z;0.046818756;0.95744;0.00027504136;0.053625308;2.7058878;2655.5815;0.00027504136;0.053625308;0.034601897;0.62919474;6.153113e-5;0.016130548;1.5735304;1200.9042;6.153113e-5;0.016130548;0.0004996312;0.0036548667;0.0036586649;0.0038624695;0.0238202;0.13076898;0.14078946;0.153356
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;500;1000000;1;targets_X;0.07882766;0.90858096;0.011825239;0.7213324;158.33652;67.075615;0.011825239;0.7213324;0.05671841;0.5620068;0.0018238593;0.09210523;12.322638;16.295431;0.0018238593;0.09210523;0.021698702;0.01806195;0.015580843;0.035036992;0.3396426;0.15646672;0.067718714;0.12604114
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;1000000;1;targets_Y;0.026611062;0.43100733;0.0014461299;0.061481044;1.6975929;716.59186;0.0014461299;0.061481044;0.017759467;0.21737517;0.00040105576;0.018975085;0.32890907;99.99621;0.00040105576;0.018975085;0.0012387689;0.0037832207;0.0037819946;0.004437369;0.025381232;0.036621463;0.03813714;0.052965846
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;1000000;2;targets_Z;0.04626268;0.89280045;0.00029476965;0.09330101;2.8916621;2485.2336;0.00029476965;0.09330101;0.034393232;0.60138905;5.8412872e-5;0.014777826;1.6595602;1139.9225;5.8412872e-5;0.014777826;0.0005369473;0.0036033539;0.0036052396;0.0038750786;0.0251596;0.12737663;0.13324228;0.14570162
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;1000;2;targets_Y;7.425545;76.79591;0.16309482;9.544429;3274.195;8524.231;0.16309482;9.544429;5.0989304;45.242733;0.050666504;2.2996066;1523.4119;3580.0107;0.050666504;2.2996066;1.2045305;1.5337149;0.7682546;1.7091769;117.77925;101.09854;6.091906;24.636753
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;100000;3;targets_X;0.24451873;4.8947444;0.02141814;1.11078;710.97235;188.80252;0.02141814;1.11078;0.16511418;2.5666199;0.005899616;0.25201043;77.268875;45.902493;0.005899616;0.25201043;0.038890965;0.11240452;0.06491221;0.09668212;1.99398;1.5761294;0.18550536;0.60565126
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;1000000;3;targets_Y;0.026149156;0.39045665;0.0016559069;0.092607096;1.2039131;463.4335;0.0016559069;0.092607096;0.01758525;0.20233652;0.00045543452;0.023194656;0.27182877;72.08617;0.00045543452;0.023194656;0.0016376658;0.0038539448;0.0038537765;0.0049161436;0.042091057;0.0355965;0.035444483;0.07441972
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;1000000;1;targets_Z;0.04732119;0.8976996;0.00018534792;0.048339788;2.9352643;2573.5273;0.00018534792;0.048339788;0.034931827;0.60202146;5.2352374e-5;0.014450592;1.6524543;1162.344;5.2352374e-5;0.014450592;0.0009069004;0.0035755134;0.0035773246;0.0042159082;0.028026376;0.12665105;0.13369694;0.15005565
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;20000;1000000;1;targets_Y;0.026057156;0.40858757;0.0013175867;0.0825433;1.4030554;574.0856;0.0013175867;0.0825433;0.017647628;0.2057064;0.00038462033;0.019476509;0.29081276;84.07947;0.00038462033;0.019476509;0.0017468313;0.0037417084;0.00374124;0.0049250717;0.05094559;0.034272186;0.034114398;0.07931399
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;10000;1;targets_Y;1.3757157;32.077488;0.033936378;1.7550943;2059.3638;2122.9255;0.033936378;1.7550943;0.9899153;16.051157;0.014847669;0.6256469;545.57043;607.6428;0.014847669;0.6256469;0.18855989;0.6471054;0.22195034;0.29963627;30.337694;22.887613;0.8082679;2.146172
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;10000;2;targets_Z;0.9483818;12.533145;0.0019605602;0.473958;56.3527;8618.078;0.0019605602;0.473958;0.68641543;7.601914;0.0006405364;0.16031471;29.259693;5149.1567;0.0006405364;0.16031471;0.011873133;0.04550648;0.047056038;0.05390807;0.42206806;1.1373371;1.130425;1.349325
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;10000000;1;targets_Y;0.073649086;0.6436692;0.0013485885;0.06913829;16.48805;62.280483;0.0013485885;0.06913829;0.053525086;0.43202984;0.0005516215;0.023801284;3.40545;13.816839;0.0005516215;0.023801284;0.0072171944;0.009984693;0.009998742;0.015185478;0.31855556;0.061417792;0.056597035;0.21120884
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;2;targets_X;0.10847614;1.49416;0.0036376119;0.21394652;4.3026667;1218.7035;0.0036376119;0.21394652;0.0728495;0.7674478;0.0012798486;0.06508552;0.96370256;205.25142;0.0012798486;0.06508552;0.0045392234;0.013540815;0.013490323;0.015885694;0.08223847;0.10249923;0.09254525;0.14256974
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;1000;1000000;2;targets_Z;0.046372056;0.9009089;0.00019976658;0.03332973;2.9410973;2516.7056;0.00019976658;0.03332973;0.0346456;0.61465406;5.4015447e-5;0.012867557;1.6424006;1165.6827;5.4015447e-5;0.012867557;0.00032001542;0.0035701038;0.0035716062;0.0036377436;0.015057409;0.121774666;0.12558717;0.1293632
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;10000000;2;targets_Y;0.012064627;0.17060521;0.0014500747;0.06632909;1.219528;424.61685;0.0014500747;0.06632909;0.0063783857;0.07159879;0.00018939956;0.009147081;0.15054746;52.934513;0.00018939956;0.009147081;0.00066219474;0.0014749647;0.0014759196;0.0019358193;0.009002069;0.017223429;0.01888565;0.02452987
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;200;1000000;1;targets_X;0.08548077;0.84255767;0.0042710793;0.09506258;37.172596;86.53879;0.0042710793;0.09506258;0.06485266;0.57403624;0.0009892946;0.035855334;6.1762986;21.322622;0.0009892946;0.035855334;0.004477296;0.0136713125;0.013476968;0.015509525;0.13601826;0.092583105;0.06985786;0.10989087
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;100000;1;targets_X;0.2431515;4.74291;0.020088684;0.9517532;626.004;166.21326;0.020088684;0.9517532;0.1638679;2.5224066;0.005677307;0.23381709;72.0563;44.01181;0.005677307;0.23381709;0.01951884;0.106419265;0.06366147;0.07585468;1.6028209;1.2461561;0.18555805;0.39891827
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;1;targets_Y;0.105328724;1.5556179;0.0036811188;0.21165758;3.3007767;1326.8362;0.0036811188;0.21165758;0.07092613;0.79038894;0.0013158938;0.067832656;0.8876886;215.32632;0.0013158938;0.067832656;0.0071216524;0.013441831;0.013412132;0.018325126;0.11836413;0.10910359;0.09270726;0.23942718
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;20000;1000000;1;targets_Z;0.04705351;0.900096;0.00039192237;0.06614907;2.8701086;2529.0498;0.00039192237;0.06614907;0.034690488;0.60234255;6.0029946e-5;0.0155097535;1.6509942;1158.0566;6.0029946e-5;0.0155097535;0.0007007597;0.0036117255;0.0036140396;0.004060108;0.028474048;0.12812705;0.1342225;0.15164573
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;1000000;2;targets_Y;0.026125578;0.42229456;0.0012334209;0.06294357;1.3591502;471.5652;0.0012334209;0.06294357;0.017850379;0.2160261;0.00037822014;0.018916916;0.2908956;80.60383;0.00037822014;0.018916916;0.0013485884;0.0038269577;0.0038253837;0.004592078;0.031754587;0.03538443;0.03392239;0.0572668
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;100000;2;targets_Y;0.23897895;4.573823;0.022455616;1.1670026;598.13074;170.67728;0.022455616;1.1670026;0.16327757;2.518944;0.0060723177;0.24880308;67.491905;43.224724;0.0060723177;0.24880308;0.035243288;0.10411581;0.06392924;0.09202682;1.8068839;1.2022318;0.1803855;0.75599104
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;100;1000000;1;targets_X;0.028114533;0.3257559;0.00069886335;0.039397266;0.634428;332.38254;0.00069886335;0.039397266;0.019970033;0.17558569;0.00030641022;0.015711842;0.22732271;60.703316;0.00030641022;0.015711842;0.0009542978;0.0034551844;0.00345548;0.0038263986;0.009961864;0.02806012;0.02825761;0.027467346
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;10000;3;targets_X;0.7217053;8.227786;0.023443095;1.2891045;22.370338;2745.1172;0.023443095;1.2891045;0.47735855;4.260084;0.0070730927;0.35945708;6.0787506;633.635;0.0070730927;0.35945708;0.057080224;0.07727481;0.07713219;0.119741745;0.70363474;0.65001297;0.39866194;0.68389475
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;200;1000000;1;targets_X;0.028481532;0.41132125;0.0017722666;0.10908154;4.315631;967.22156;0.0017722666;0.10908154;0.01841403;0.21668544;0.00044269714;0.025685044;0.7817025;171.57861;0.00044269714;0.025685044;0.0009642017;0.0040125907;0.004019279;0.0044161268;0.026894584;0.04367867;0.041473065;0.04707166
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;1000000;2;targets_Y;0.08150971;0.7873966;0.0067322087;0.3100343;94.53843;76.072586;0.0067322087;0.3100343;0.058390852;0.5063241;0.0013464647;0.055030096;6.0414147;17.024454;0.0013464647;0.055030096;0.006120101;0.015757846;0.014653067;0.018534176;0.30677545;0.10090071;0.072997496;0.22596274
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;2;targets_Y;0.10339077;1.4803096;0.0046032127;0.25367478;3.1951642;1291.9421;0.0046032127;0.25367478;0.0702262;0.7658119;0.001302623;0.068684585;0.7925154;197.60693;0.001302623;0.068684585;0.0074332505;0.013461058;0.013430982;0.018597396;0.14474271;0.10604394;0.09087604;0.2648049
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;1000;1000000;2;targets_Y;0.027338699;0.40321663;0.00091473875;0.048175596;1.3139707;406.91293;0.00091473875;0.048175596;0.017988633;0.21484683;0.0003719689;0.017802974;0.30024838;71.695206;0.0003719689;0.017802974;0.0034315644;0.0037805953;0.0037823308;0.006640977;0.017557252;0.036129814;0.03604968;0.0444049
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;200;1000000;2;targets_X;0.08570428;0.8971562;0.0033362475;0.13584225;9.4848995;16.66415;0.0033362475;0.13584225;0.063057736;0.5773042;0.0010243078;0.04465321;2.6370838;6.9948845;0.0010243078;0.04465321;0.005269049;0.014479989;0.013912218;0.017120147;0.45792392;0.049129337;0.050269708;0.45398778
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;500;1000000;3;targets_Y;0.025037667;0.3502005;0.001194937;0.047115028;1.1328151;753.4669;0.001194937;0.047115028;0.016908625;0.1888473;0.0003807367;0.017018937;0.254898;81.40587;0.0003807367;0.017018937;0.003546404;0.0036000828;0.0035994847;0.006474969;0.03343012;0.028696083;0.031167109;0.04973314
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;10000000;2;targets_Y;0.073415644;0.6324123;0.0017285992;0.08643435;16.386732;54.513203;0.0017285992;0.08643435;0.053798668;0.42809486;0.00059402955;0.025646644;3.3764484;13.122253;0.00059402955;0.025646644;0.014878583;0.010108772;0.010109511;0.022931641;0.25535074;0.0610105;0.05750481;0.4805528
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;100000;3;targets_Z;0.15887271;2.8912663;0.0014571011;0.12293853;9.156989;4781.9937;0.0014571011;0.12293853;0.11882212;1.8832449;0.00018455573;0.04198686;5.1952357;2456.0981;0.00018455573;0.04198686;0.0072406195;0.011137686;0.011140847;0.017467856;0.11501155;0.33836883;0.3347421;0.4069548
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;2000;1000000;2;targets_Z;0.048832353;0.93908364;0.00010550436;0.028052531;3.0176291;2773.7314;0.00010550436;0.028052531;0.036115173;0.6337804;4.2809992e-5;0.011870945;1.7300606;1276.1162;4.2809992e-5;0.011870945;0.00044727325;0.003623318;0.0036230711;0.0037861958;0.01954921;0.13341841;0.13684158;0.14637783
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;1;targets_X;0.104021825;1.500413;0.0047196825;0.24104792;3.9175138;1299.5527;0.0047196825;0.24104792;0.07003219;0.7641803;0.0013175937;0.06395614;0.88024294;215.2046;0.0013175937;0.06395614;0.018848406;0.013457527;0.013396405;0.029890327;0.16188607;0.10937366;0.09578238;0.20827325
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;2000;1000000;2;targets_X;0.027014468;0.40320528;0.0016851765;0.08128666;1.0546243;583.42804;0.0016851765;0.08128666;0.018004058;0.21185131;0.0003809815;0.019043598;0.24919912;79.782524;0.0003809815;0.019043598;0.0026213196;0.0038763285;0.00387324;0.0058992417;0.01748859;0.036384232;0.03527925;0.044055205
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;100;1000000;1;targets_Z;0.049405653;0.970868;8.294709e-5;0.03405471;3.2365568;2590.8723;8.294709e-5;0.03405471;0.03638353;0.5972207;4.163271e-5;0.012346555;1.8936366;1185.5829;4.163271e-5;0.012346555;0.000349181;0.0032850269;0.0032871426;0.0034050853;0.013737383;0.12040428;0.12005196;0.119401194
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;100000;3;targets_Y;0.24437153;4.779018;0.019683426;1.0289078;666.7892;183.97035;0.019683426;1.0289078;0.16451311;2.5097337;0.0055309013;0.23733035;71.29176;44.571083;0.0055309013;0.23733035;0.033008106;0.105600186;0.062938884;0.08421248;1.9997567;1.3755053;0.18122903;0.8636244
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;100000;1;targets_Y;0.24005851;4.564404;0.021746382;0.9918374;660.6407;176.73154;0.021746382;0.9918374;0.16483583;2.4971566;0.0059350613;0.24311204;72.0495;43.251987;0.0059350613;0.24311204;0.026148679;0.10534678;0.06441216;0.08316063;3.2753248;1.460382;0.18388058;0.61824155
