Commit_Hash,Source,Amount_of_Timesteps,Multiple,Separate_Loop,Sampling,Max_Iterations,Iterations,Time_In_Seconds,NN_Index,Percentage,RMSE_Marginal_Mean,RMSE_Marginal_Variance,RMSE_Marginal_Rho,RMSE_Marginal_Tau,MAE_Marginal_Mean,MAE_Marginal_Variance,MAE_Marginal_Rho,MAE_Marginal_Tau,MAPE_Marginal_Mean,MAPE_Marginal_Variance,MAPE_Marginal_Rho,MAPE_Marginal_Tau
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,31.882488012313843,2,0.5,0.0054361946,2.1647359e12,9999.994,8.893256,0.0053392947,5.1166095e11,9999.999,8.874865,NaN,5.1166117e15,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,35.61608695983887,3,0.5,0.002781114,9.800488e9,9999.991,6995.725,0.0027555032,9.799945e9,9999.996,6995.724,0.0039387164,9.799951e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,35.61608695983887,3,0.5,0.045282785,2.1647154e12,9999.994,8.893256,0.033759464,5.1166072e11,9999.999,8.874865,NaN,5.1166096e15,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,true,false,false,200,0,110.77668404579163,4,0.5,0.007505268,9.800488e9,9999.991,6995.725,0.007500804,9.799945e9,9999.996,6995.724,0.010721856,9.799951e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,true,false,false,200,0,110.77668404579163,4,0.5,0.01024326,2.1647153e12,9999.994,8.893256,0.008199926,5.1166072e11,9999.999,8.874865,NaN,5.1166096e15,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,36.22377300262451,1,0.25,0.009100827,9.850118e9,9999.991,6995.725,0.009071996,9.849446e9,9999.996,6995.724,0.0129677905,9.849451e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,36.22377300262451,1,0.25,0.01448139,7.279119e16,9999.994,8.893256,0.01091727,8.700073e15,9999.999,8.874865,NaN,8.700068e19,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,41.822810888290405,2,0.25,0.0146012725,9.850118e9,9999.991,6995.725,0.014555911,9.849446e9,9999.996,6995.724,0.02080674,9.849451e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,41.822810888290405,2,0.25,0.00763316,7.2791e16,9999.994,8.893256,0.0075070662,8.700069e15,9999.999,8.874865,NaN,8.700064e19,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,false,false,false,200,0,38.606833934783936,3,0.25,0.0023738155,9.850118e9,9999.991,6995.725,0.0014233771,9.849446e9,9999.996,6995.724,0.002034523,9.849451e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,false,false,false,200,0,38.606833934783936,3,0.25,0.05291789,7.2791e16,9999.994,8.893256,0.046714038,8.700069e15,9999.999,8.874865,NaN,8.700064e19,1.0,NaN
4f4fa48ceb220cb80957bdae26644cec0a8a390c,SoH,9024,true,false,false,200,0,122.20904397964478,4,0.25,0.00843922,9.850118e9,9999.991,6995.725,0.008347285,9.849446e9,9999.996,6995.724,0.011931855,9.849451e13,0.9999996,0.9999996
4f4fa48ceb220cb80957bdae26644cec0a8a390c,DSOC,9024,true,false,false,200,0,122.20904397964478,4,0.25,0.018134769,7.279119e16,9999.994,8.893256,0.015570874,8.700073e15,9999.999,8.874865,NaN,8.700068e19,1.0,NaN
df8364702f43f5d586305bcffb3c576efd345100,SoH,9024,false,false,false,200,0,39.28620505332947,1,0.05,0.01728295,9.889648e9,9999.991,6995.725,0.01600955,9.889052e9,9999.996,6995.724,0.022884628,9.8890565e13,0.9999996,0.9999996
df8364702f43f5d586305bcffb3c576efd345100,DSOC,9024,false,false,false,200,0,39.28620505332947,1,0.05,0.004057167,Inf,9999.994,8.893256,0.0024058856,4.775538e24,9999.999,8.874865,NaN,4.7755375e28,1.0,NaN
df8364702f43f5d586305bcffb3c576efd345100,SoH,9024,false,false,false,200,0,30.759454011917114,2,0.05,0.00930704,9.889648e9,9999.991,6995.725,0.0064849053,9.889052e9,9999.996,6995.7246,0.009269827,9.8890565e13,0.9999996,0.9999996
df8364702f43f5d586305bcffb3c576efd345100,DSOC,9024,false,false,false,200,0,30.759454011917114,2,0.05,0.0046260185,Inf,9999.994,8.893256,0.0033264998,4.775538e24,9999.999,8.874865,NaN,4.7755375e28,1.0,NaN
df8364702f43f5d586305bcffb3c576efd345100,SoH,9024,false,false,false,200,0,31.969769954681396,3,0.05,0.014803868,9.889648e9,9999.991,6995.725,0.011221409,9.889052e9,9999.996,6995.724,0.016040249,9.8890565e13,0.9999996,0.9999996
df8364702f43f5d586305bcffb3c576efd345100,DSOC,9024,false,false,false,200,0,31.969769954681396,3,0.05,0.041171234,Inf,9999.994,8.893256,0.029392026,4.775538e24,9999.999,8.874865,NaN,4.7755375e28,1.0,NaN
