Source,Factor,Target,SamplesPerInput,N,RMSE_Marginal_Mean_Mean,RMSE_Marginal_Mean_Std,RMSE_Marginal_Variance_Mean,RMSE_Marginal_Variance_Std,RMSE_Msg_Mean_Mean,RMSE_Msg_Mean_Std,RMSE_Msg_Variance_Mean,RMSE_Msg_Variance_Std,MAE_Marginal_Mean_Mean,MAE_Marginal_Mean_Std,MAE_Marginal_Variance_Mean,MAE_Marginal_Variance_Std,MAE_Msg_Mean_Mean,MAE_Msg_Mean_Std,MAE_Msg_Variance_Mean,MAE_Msg_Variance_Std,MAPE_Marginal_Mean_Mean,MAPE_Marginal_Mean_Std,MAPE_Marginal_Variance_Mean,MAPE_Marginal_Variance_Std,MAPE_Msg_Mean_Mean,MAPE_Msg_Mean_Std,MAPE_Msg_Variance_Mean,MAPE_Msg_Variance_Std
Sampled_vs_Exact,wsf,targets_X,1000,5000,3.281155066666667,0.03674709206037045,29.579672666666667,1.2447094273388994,153.35121,13.083273585448714,4243.201533333334,143.65679769009665,2.1219086666666667,0.0033733159388549625,15.892759333333332,0.6269520629213479,39.604951,2.2518841978758584,1197.8643666666667,51.132347615216446,0.9790898800000001,1.3397344888353306,0.30438175333333334,0.0053214642217751665,3.0188062666666666,0.5795704442492416,2.5057336,0.07913038210150374
Sampled_vs_Exact,wsf,targets_X,1000,10000,3.198611833333333,0.017876883800129438,28.652185000000003,0.1387935049308865,145.68251999999998,5.82604000834185,4088.4261666666666,197.26678382275463,2.0943272,0.005770038183582509,15.643082,0.07158645889412259,38.102436,1.6732602011614948,1139.7260666666668,69.52583025446974,0.23654328999999996,0.07734524437342158,0.30942991333333336,0.0022220836413000384,3.2637356,0.8412938939905127,2.4737753333333337,0.09887010365815008
Sampled_vs_Exact,gmf,targets_Y,1000000,100,0.075828418,0.006293491052629852,0.7810277333333332,0.12667893012463965,21.646012000000002,12.185833850488486,37.79928,4.9080305569953415,0.05409325566666667,0.004189019876866702,0.50798152,0.05332486471147678,5.602231033333333,2.7182234211310967,12.064378166666666,2.1324953765999313,0.005209179133333333,0.0017059151753247884,0.019114377333333335,0.011414266138072142,0.24134919,0.14311484554768136,0.08985966533333334,0.02812917475110611
Sampled_vs_Exact,gmf,targets_Y,1000000,200,0.08044887666666667,0.009343215373640563,0.7979289333333334,0.13452959333969358,25.159848666666665,9.039007958460118,65.58395833333333,5.191549821123585,0.059791543333333336,0.007644567711501376,0.5203934766666668,0.08919822535869552,5.551393966666667,0.9637077383373049,18.137573333333332,1.6026100267570818,0.0047772298,0.0013212191939058562,0.013723235333333333,0.0020138441146040405,0.8813295366666667,1.232061364819701,0.09592916,0.0032117849246018986
Sampled_vs_Exact,gmf,targets_Y,1000000,500,0.08115104866666667,0.00199152598954303,0.8034409366666666,0.06605849626598406,201.61140333333333,160.58472118956843,57.05999433333333,19.473503066239942,0.05820979099999999,0.0015043108358258259,0.51951947,0.034671498594633914,13.323111166666669,7.635877043292904,14.399591333333333,1.344822747607035,0.013584272533333332,0.010296514618699439,0.015501424666666666,0.0017681012281326929,0.31150618999999996,0.1645976079229765,0.20250447666666668,0.11806158991807003
Sampled_vs_Exact,gmf,targets_Y,1000000,1000,0.08104866333333334,0.0010943241244865836,0.7893864566666666,0.05292814394070166,20.641507,3.4305894890576756,65.52168333333333,13.252688845031912,0.05852316566666666,0.0006054185275694289,0.5055025733333333,0.02601173823077828,4.478705166666667,0.15596398290978364,15.517568333333335,1.4348640104247972,0.0063208073333333335,0.0017750892183268098,0.016098974999999998,0.0026384751135887187,0.20091088000000001,0.014695851103046055,0.084118812,0.0034464278360923253
Sampled_vs_Exact,gmf,targets_Y,1000000,2000,0.08388761666666666,0.0015865626787912722,0.8341872533333333,0.025040712663712907,57.750753,70.6786512363427,58.731822,12.185726895592728,0.060032207000000004,0.0006578732292828168,0.5356719666666666,0.012502096690688875,6.007725166666667,3.4234268504224077,14.457792,1.7260255682471797,0.014354105800000001,0.012226728211897719,0.016318918333333335,0.0007631337407246077,0.26858713666666667,0.05294523231416814,0.08987718166666665,0.029378980332665703
Sampled_vs_Exact,gmf,targets_Y,1000000,5000,0.08135873,0.00028110948543227926,0.8193941666666668,0.028782505315961195,99.77439333333332,5.150889549100552,61.391472,13.243257802209092,0.05887085466666667,0.0007292720798312061,0.51898645,0.01140983724456662,5.9265957,0.279996236399331,14.938075333333332,1.8380272292970339,0.0080322105,0.0018298990129615755,0.016013977999999998,0.0012543840594188042,0.25757479666666666,0.05227194033729506,0.095518885,0.00466449163876676
Sampled_vs_Exact,gmf,targets_Y,1000000,10000,0.08330415833333334,0.0010815738481066964,0.8352468633333333,0.005835320260794077,67.71442766666667,28.24695163399719,59.54226133333333,1.7350511750223205,0.05988003833333333,0.0005883634740535252,0.5305440066666667,0.0046447852514980075,5.073721333333332,0.5162753275049405,14.555605666666667,0.1285614220376134,0.01015150916666666,0.001979963576544323,0.015144355,0.0002685265207367793,0.24074016,0.022590980057241885,0.08416819333333335,0.005784212694441078
Sampled_vs_Exact,gmf,targets_Y,1000000,20000,0.0822631,0.0010114213267970967,0.8341755666666667,0.00999208549419655,77.660388,8.56114373945164,60.91573233333333,0.5103329906505484,0.05920581866666667,0.0007922141106199347,0.5279619000000001,0.004332314872847975,5.6010284,0.6067344304408068,14.845027666666667,0.2621887627670829,0.016147254333333333,0.010700672762319681,0.015594277333333332,0.0006086086494047978,0.3664147533333333,0.11996429243926936,0.09047768666666667,0.004870706014627997
