I,SoC,SoH,timestamp,DSoC,DQ
0.0,0.15,0.7,0.0,-0.0,6.094784915027949e-8
0.0,0.15,0.6999999390521509,0.004166666666666667,0.0009018759804007607,9.426485237736869e-8
-10.0,0.15090187598040075,0.6999998447872985,0.008333333333333333,0.0009018761018510822,9.426464813723422e-8
-10.0,0.15180375208225183,0.6999997505226504,0.0125,0.000901876223301173,9.42647064606004e-8
-10.0,0.152705628305553,0.6999996562579439,0.016666666666666666,0.0009018763447513719,9.426499929702464e-8
-10.0,0.15360750465030437,0.6999995619929447,0.020833333333333332,0.0009018764662019807,9.426550150632721e-8
-10.0,0.15450938111650636,0.6999994677274431,0.025,0.0009018765876532694,9.426619060206653e-8
-10.0,0.15541125770415964,0.6999993734612525,0.029166666666666667,0.0009018767091054786,9.426704645116123e-8
-10.0,0.1563131344132651,0.699999279194206,0.03333333333333333,0.0009018768305588231,9.42680510668436e-8
-10.0,0.15721501124382392,0.699999184926155,0.0375,0.0009018769520134948,9.426918829866168e-8
-10.0,0.1581168881958374,0.6999990906569666,0.041666666666666664,0.0009018770734696644,9.427044375504284e-8
-10.0,0.15901876526930708,0.6999989963865229,0.04583333333333333,0.0009018771949274841,9.427180451307326e-8
-10.0,0.15992064246423457,0.6999989021147184,0.05,0.0009018773163870896,9.42732590159678e-8
-10.0,0.16082251978062165,0.6999988078414594,0.05416666666666667,0.0009018774378486019,9.427479694691116e-8
-10.0,0.16172439721847026,0.6999987135666624,0.058333333333333334,0.0009018775593121287,9.427640906141259e-8
-10.0,0.16262627477778238,0.6999986192902534,0.0625,0.0009018776807777649,9.427808706520565e-8
-10.0,0.16352815245856014,0.6999985250121663,0.06666666666666667,0.0009018778022455958,9.427982358462271e-8
-10.0,0.16443003026080574,0.6999984307323427,0.07083333333333333,0.0009018779237156969,9.428161201074201e-8
-10.0,0.16533190818452145,0.6999983364507307,0.075,0.0009018780451881349,9.428344638531137e-8
-10.0,0.16623378622970958,0.6999982421672843,0.07916666666666666,0.0009018781666629689,9.428532146438572e-8
-10.0,0.16713566439637254,0.6999981478819629,0.08333333333333333,0.0009018782881402514,9.428723248356436e-8
-10.0,0.1680375426845128,0.6999980535947304,0.0875,0.000901878409620029,9.428917521200228e-8
-10.0,0.16893942109413282,0.6999979593055552,0.09166666666666666,0.0009018785311023423,9.429114589175824e-8
-10.0,0.16984129962523517,0.6999978650144093,0.09583333333333333,0.0009018786525872274,9.429314112625762e-8
-10.0,0.1707431782778224,0.6999977707212682,0.1,0.0009018787740747157,9.429515788645702e-8
-10.0,0.17164505705189712,0.6999976764261103,0.10416666666666667,0.0009018788955648351,9.429719348114918e-8
-10.0,0.17254693594746195,0.6999975821289168,0.10833333333333334,0.0009018790170576103,9.429924552316683e-8
-10.0,0.17344881496451955,0.6999974878296713,0.1125,0.0009018791385530618,9.430131180244985e-8
-10.0,0.1743506941030726,0.6999973935283595,0.11666666666666667,0.0009018792600512082,9.430339045230005e-8
-10.0,0.1752525733631238,0.6999972992249691,0.12083333333333333,0.0009018793815520656,9.430547973178104e-8
-10.0,0.17615445274467587,0.6999972049194894,0.125,0.0009018795030556474,9.430757810067892e-8
-10.0,0.1770563322477315,0.6999971106119113,0.12916666666666665,0.0009018796245619657,9.430968420812265e-8
-10.0,0.17795821187229346,0.6999970163022271,0.13333333333333333,0.0009018797460710301,9.431179682684225e-8
-10.0,0.1788600916183645,0.6999969219904303,0.1375,0.0009018798675828493,9.431391486981799e-8
-10.0,0.17976197148594736,0.6999968276765154,0.14166666666666666,0.0009018799890974301,9.431603736827935e-8
